"cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","predicted_cell_type"
"0",0,3.72086004962306,0.681,0.073,0,"LAPTM5","CD8+ T-cells"
"0",0,2.98348097900219,0.758,0.155,0,"SRGN","CD8+ T-cells"
"0",0,3.23772126088291,0.67,0.092,0,"CD52","CD8+ T-cells"
"0",0,3.30182248472796,0.646,0.072,0,"PTPRC","CD8+ T-cells"
"0",0,3.21642239084928,0.674,0.139,0,"CXCR4","CD8+ T-cells"
"0",0,3.43496008513315,0.578,0.06,0,"CD37","CD8+ T-cells"
"0",0,3.30889079540654,0.603,0.088,0,"CORO1A","CD8+ T-cells"
"0",0,3.34805529665153,0.58,0.081,0,"RAC2","CD8+ T-cells"
"0",0,3.26258946996673,0.553,0.07,0,"HCST","CD8+ T-cells"
"0",0,3.30580869508137,0.522,0.066,0,"CD69","CD8+ T-cells"
"0",0,3.26529598116544,0.531,0.079,0,"RGS1","CD8+ T-cells"
"0",0,3.31681198411476,0.508,0.057,0,"CD3D","CD8+ T-cells"
"0",0,3.67396877906061,0.495,0.046,0,"CD3E","CD8+ T-cells"
"0",0,3.35309736791566,0.503,0.057,0,"IL2RG","CD8+ T-cells"
"0",0,3.25990196584711,0.493,0.055,0,"CD2","CD8+ T-cells"
"0",0,3.4585000916028,0.468,0.049,0,"CYTIP","CD8+ T-cells"
"0",0,2.63776788639778,0.532,0.119,0,"LSP1","CD8+ T-cells"
"0",0,3.3656716103897,0.458,0.049,0,"CD53","CD8+ T-cells"
"0",0,3.2724053532418,0.475,0.07,0,"LCP1","CD8+ T-cells"
"0",0,3.08274802424276,0.501,0.099,0,"LIMD2","CD8+ T-cells"
"0",0,2.80353635893502,0.501,0.099,0,"GMFG","CD8+ T-cells"
"0",0,2.71126765691569,0.549,0.15,0,"COTL1","CD8+ T-cells"
"0",0,3.49745500741906,0.438,0.043,0,"CD48","CD8+ T-cells"
"0",0,3.29628374258431,0.445,0.053,0,"TRBC2","CD8+ T-cells"
"0",0,3.38681660943624,0.439,0.049,0,"FYB1","CD8+ T-cells"
"0",0,3.35356893563978,0.446,0.06,0,"LTB","CD8+ T-cells"
"0",0,3.28971065711582,0.445,0.06,0,"ITGB2","CD8+ T-cells"
"0",0,2.75717454419302,0.597,0.217,0,"IL32","CD8+ T-cells"
"0",0,3.19583187532235,0.449,0.072,0,"GPSM3","CD8+ T-cells"
"0",0,3.51107598951701,0.423,0.051,0,"IL7R","CD8+ T-cells"
"0",0,2.30349842860104,0.73,0.359,0,"ARHGDIB","CD8+ T-cells"
"0",0,3.04594686566859,0.456,0.087,0,"CCL5","CD8+ T-cells"
"0",0,2.93492916500492,0.481,0.115,0,"TNFAIP3","CD8+ T-cells"
"0",0,3.21955319384659,0.414,0.056,0,"HCLS1","CD8+ T-cells"
"0",0,3.45516851289049,0.396,0.04,0,"LCK","CD8+ T-cells"
"0",0,2.17261581033396,0.787,0.433,0,"CD74","CD8+ T-cells"
"0",0,3.32199497637103,0.392,0.043,0,"CD7","CD8+ T-cells"
"0",0,3.14823914513975,0.401,0.055,0,"ALOX5AP","CD8+ T-cells"
"0",0,3.11800054094839,0.445,0.099,0,"DUSP2","CD8+ T-cells"
"0",0,3.13888337142843,0.405,0.06,0,"TRAC","CD8+ T-cells"
"0",0,3.16706376403376,0.385,0.052,0,"ACAP1","CD8+ T-cells"
"0",0,1.44988478838533,0.702,0.382,0,"S100A4","CD8+ T-cells"
"0",0,1.70643995905337,0.817,0.497,0,"HLA-E","CD8+ T-cells"
"0",0,3.31614007603004,0.351,0.038,0,"CD3G","CD8+ T-cells"
"0",0,2.67699510799464,0.48,0.169,0,"HLA-DPB1","CD8+ T-cells"
"0",0,0.271622891910977,0.773,0.463,0,"VIM","CD8+ T-cells"
"0",0,2.49659745788048,0.417,0.116,0,"STK17B","CD8+ T-cells"
"0",0,3.37415776249274,0.337,0.039,0,"SPOCK2","CD8+ T-cells"
"0",0,2.55714619104652,0.47,0.174,0,"HLA-DPA1","CD8+ T-cells"
"0",0,1.77882765824979,0.493,0.197,0,"EMP3","CD8+ T-cells"
"0",0,3.29239319463296,0.339,0.045,0,"CST7","CD8+ T-cells"
"0",0,3.42707110809522,0.324,0.032,0,"CD27","CD8+ T-cells"
"0",0,3.28453832923207,0.328,0.04,0,"LCP2","CD8+ T-cells"
"0",0,2.5395789995025,0.411,0.126,0,"STK17A","CD8+ T-cells"
"0",0,3.23607905802405,0.32,0.038,0,"TRBC1","CD8+ T-cells"
"0",0,3.40041004998178,0.313,0.031,0,"TBC1D10C","CD8+ T-cells"
"0",0,3.12582839724537,0.327,0.047,0,"TRAF3IP3","CD8+ T-cells"
"0",0,2.47709577868632,0.376,0.098,0,"WIPF1","CD8+ T-cells"
"0",0,1.88227273623732,0.528,0.251,0,"PSMB9","CD8+ T-cells"
"0",0,1.80735538476097,0.659,0.382,0,"CYBA","CD8+ T-cells"
"0",0,3.13439673692187,0.325,0.05,0,"LAT","CD8+ T-cells"
"0",0,2.26777270219992,0.694,0.419,0,"TSC22D3","CD8+ T-cells"
"0",0,2.27870400024269,0.448,0.174,0,"STK4","CD8+ T-cells"
"0",0,2.82400385066594,0.35,0.077,0,"RHOH","CD8+ T-cells"
"0",0,3.40199754407094,0.301,0.032,0,"TAGAP","CD8+ T-cells"
"0",0,3.2351533830649,0.306,0.037,0,"APBB1IP","CD8+ T-cells"
"0",0,3.3125798674506,0.298,0.03,0,"CD247","CD8+ T-cells"
"0",0,3.38770430878471,0.298,0.03,0,"SLA","CD8+ T-cells"
"0",0,2.64846308408141,0.333,0.069,0,"GIMAP4","CD8+ T-cells"
"0",0,3.27249629614417,0.293,0.03,0,"IKZF1","CD8+ T-cells"
"0",0,2.15327654997059,0.385,0.126,0,"GYPC","CD8+ T-cells"
"0",0,1.76800321278623,0.64,0.381,0,"FXYD5","CD8+ T-cells"
"0",0,3.24911552399436,0.319,0.062,0,"CCL4","CD8+ T-cells"
"0",0,3.50996328386851,0.282,0.026,0,"WAS","CD8+ T-cells"
"0",0,3.18868797216338,0.288,0.033,0,"SAMSN1","CD8+ T-cells"
"0",0,2.31336898311911,0.328,0.075,0,"GIMAP7","CD8+ T-cells"
"0",0,2.43194518015472,0.344,0.092,0,"CELF2","CD8+ T-cells"
"0",0,3.28687137271508,0.281,0.032,0,"CD96","CD8+ T-cells"
"0",0,3.35016333042223,0.283,0.034,0,"GZMA","CD8+ T-cells"
